1,1,2
1,诸,邑
2,朱,逊
3,尤,紊
4,许,凡
5,吕,嵩
6,曹,豪
7,严,裘
8,华,匪
9,陶,戾
10,姜,瑛
11,柏,铭
12,章,霆
13,潘,疾
14,彭,威
15,昌,祥
16,马,誉
17,酆,枫
18,鲍,凛
19,岑,涛
20,雷,豁
21,汤,焱
22,滕,虔
23,聂,契
24,廉,罡
25,毕,鸿
26,郝,胜
27,史,鹰
28,邬,卿
29,安,城
30,常,康
31,于,阁
32,傅,穆
33,赫,扬
34,解,垣
35,应,师
36,丁,翼
37,支,秋
38,元,傥
39,卜,乾
40,顾,蹇
41,穆,剑
42,尹,鞯
43,堪,达
44,汪,烙
45,祁,冥
46,禹,惮
47,屈,雍
48,项,鑫
49,董,靖
50,粱,钧
51,罗,隶
52,席,沅
53,阎,翎
54,贾,戎
55,江,擎
56,黎,荆
57,鄂,坤
58,夏,耷
59,高,磬
60,蔡,函
61,田,翰
62,万,遥
63,管,萧
64,卢,嚣
65,经,骁
66,房,鲂
67,裘,筮
68,费,勒
69,纪,炳
70,骆,斩
71,车,颤
72,余,孱
73,邓,续
74,单,岩
75,杭,奄
76,洪,箴
77,包,绯
78,左,涔
79,石,臻
80,崔,珩
81,吉,鹤
82,龚,鞅
83,程,霸
84,荣,寇
85,荀,博
86,羊,匕
87,於,弼
88,惠,碧
89,甄,捕
90,魏,败
91,家,悲
92,封,羿
93,宓,储
94,符,靳
95,刘,邴
96,景,糜
97,詹,松
98,钱,井
99,吴,富
100,张,乌
101,喻,焦
102,俞,奎
103,唐,稀
104,薛,班
105,贺,仰
106,孟,伊
107,贲,栾
108,孙,厉
109,李,一笑
110,周,天问
111,郑,山河
112,王,仇天
113,冯,一斩
114,陈,不二
115,卫,无剑
116,蒋,断天
117,沈,青云
118,韩,一刀
119,杨,碧空
120,秦,仇血
121,何,万声
122,施,万天
123,孔,绝山
124,戚,绝义
125,谢,沧海
126,邹,万仇
127,卓,万怨
128,窦,万恶
129,翟,恶天
130,苏,灭龙
131,范,剑身
132,鲁,无敌
133,韦,半鬼
134,苗,行天
135,方,浩天
136,任,天寿
137,袁,无血
138,柳,聋五
139,裴,如花
140,陆,三问
141,翁,非笑
142,段,剑愁
143,赵,冥幽
144,萧,士萧
145,姚,中道
146,邵,道天
147,狄,道消
148,宋,道罡
149,庞,不凡
150,叶,不尤
151,阮,千筹
152,郦,断秋
153,童,断缘
154,颜,道之
155,白,剑心
156,韶,剑成
157,郜,剑封
158,蔺,万言
159,徐,绝悟
160,邱,绝施
161,闵,乘风
162,樊,乘云
163,温,世开
164,凌,剑鬼
165,霍,远锋
166,虞,远望
167,柯,远山
168,莫,广缘
169,缪,天与
170,宗,天抒
171,宣,天奇
172,郁,半仙
173,嵇,一鸣
174,邢,文龙
175,向,元正
176,慕,蓝血
177,乔,无招
178,燕,无极
179,牧,鬼神
180,侯,满天
181,秋,飞扬
182,仲,豪英
183,宫,成败
184,宁,忘幽
185,仇,成危
186,祖,成风
187,武,成仁
188,连,无施
189,齐,不斜
190,伍,靖仇
191,巫,若风
192,谷粱,若剑
193,公西,若之
194,公冶,亿先
195,濮阳,人达
196,轩辕,人英
197,闾丘,人杰
198,东郭,人雄
199,令狐,元龙
200,淳于,成威
201,南宫,成协
202,百里,不评
203,单于,广山
204,宇文,不言
205,赫连,追命
206,乐正,德天
207,子车,世平
208,慕容,世德
209,司徒,世立
210,阳佟,浩阑
211,归海,士晋
212,司空,铸海
213,西门,人龙
214,左丘,伯云
215,伯赏,老头
216,巫马,剑通
217,尉迟,天德
218,东方,铁身
219,诸葛,半邪
220,夏侯,半山
221,欧阳,十八
222,皇甫,擎汉
223,上官,酬海
224,司马,复天
225,鲜于,严青
226,长孙,不正
227,太叔,无声
228,钟离,百招
229,仲孙,十三
230,祝,连虎
231,庄,大楚
232,佐,定帮
233,熊,大有
234,独孤,高烽
235,古,自中
236,牧云,天川
237,仓央,大开
238,卧龙,开山
239,金,中恶
240,安阳,延恶
241,虞丘,百川
242,湛卢,世倌
243,轩丘,连碧
244,容成,岱周
245,万俟,行恶
246,黑齿,青松
247,贺兰,瑞安
248,公输,生
249,拓拨,龙
250,申屠,潜
251,诸,茗
252,朱,敏
253,尤,莆
254,许,姝
255,吕,彤
256,曹,桐
257,严,芝
258,华,芷
259,陶,姿
260,姜,茈
261,柏,涫
262,章,秀
263,潘,蓉
264,彭,青
265,昌,卿
266,马,清
267,酆,惠
268,鲍,荟
269,岑,筝
270,雷,真
271,汤,贞
272,滕,珍
273,聂,宛
274,廉,娩
275,毕,莞
276,郝,菀
277,史,素
278,邬,愫
279,安,涑
280,常,兰
281,于,澜
282,傅,蓝
283,赫,斓
284,解,纹
285,应,雯
286,丁,若
287,支,弱
288,元,萍
289,卜,颦
290,顾,莹
291,穆,颖
292,尹,盈
293,堪,樱
294,汪,荧
295,祁,萤
296,禹,莺
297,屈,瑛
298,项,璎
299,董,芙
300,粱,芾
301,罗,湘
302,席,襄
303,阎,香
304,贾,玲
305,江,灵
306,黎,绫
307,鄂,翎
308,夏,丝
309,高,姒
310,蔡,苠
311,田,绮
312,万,淇
313,管,荠
314,卢,琦
315,经,衣
316,房,沂
317,裘,苡
318,费,怡
319,纪,悒
320,骆,芳
321,车,芸
322,余,笙
323,邓,忻
324,单,芯
325,杭,紫
326,洪,颜
327,包,艳
328,左,雁
329,石,妍
330,崔,嫣
331,吉,芫
332,龚,凤
333,程,珠
334,荣,洙
335,荀,竺
336,羊,萝
337,於,翠
338,惠,萃
339,甄,柔
340,魏,沁
341,家,芹
342,封,衫
343,宓,珊
344,符,琳
345,刘,莛
346,景,葶
347,詹,芮
348,钱,不愁
349,吴,妙妙
350,张,青荷
351,喻,清涟
352,俞,一兰
353,唐,若兰
354,薛,聋五
355,贺,绣连
356,孟,蛟凤
357,贲,莹芝
358,孙,中蓝
359,李,太兰
360,周,颖姿  
361,郑,外绣
362,王,不平
363,冯,雪筠 
364,陈,鸣凤
365,卫,无颜
366,蒋,莫言
367,沈,无色
368,韩,亚男
369,杨,幽若
370,秦,若男
371,何,胜男
372,施,灵素
373,孔,黛雪
374,戚,三颜
375,谢,代男
376,邹,踏歌
377,卓,芙蓉
378,窦,雁开
379,翟,东蒽
380,苏,沉鱼
381,范,落雁
382,鲁,凡英
383,韦,可仁
384,苗,可兰
385,方,可燕
386,任,可愁
387,袁,可冥
388,柳,梨愁
389,裴,不悔
390,陆,不乐
391,翁,起眸
392,段,惋庭
393,赵,香芦
394,萧,飞凤
395,姚,无春
396,邵,紫烟
397,狄,双双
398,宋,汝燕
399,庞,玉兰
400,叶,婷冉
401,阮,秋尽
402,郦,凤灵
403,童,媚颜
404,颜,问晴
405,白,不二
406,韶,千愁
407,郜,稚晴
408,蔺,英姑
409,徐,若颜
410,邱,飞飞
411,闵,妙芹
412,樊,珊珊
413,温,如雪
414,凌,雪一
415,霍,茗茗
416,虞,荧荧
417,柯,赛凤
418,莫,柏柳
419,缪,艳一
420,宗,宝川
421,宣,宝莹
422,郁,不弱
423,嵇,不惜
424,邢,莫英
425,向,朝雪
426,慕,红药
427,乔,茹嫣
428,燕,丹妗
429,牧,缘郡
430,侯,冥茗
431,秋,溪灵
432,仲,惋清
433,宫,太英
434,宁,太清
435,仇,善斓
436,祖,善愁
437,武,善若
438,连,嫣然
439,齐,阑悦
440,伍,阑香
441,巫,岂愈
442,谷粱,紫伊
443,公西,清炎
444,公冶,苑睐
445,濮阳,摇伽
446,轩辕,菲鹰
447,闾丘,冰颜
448,东郭,无心
449,令狐,非烟
450,淳于,若冰
451,南宫,嫣娆
452,百里,唯雪
453,单于,菲音
454,宇文,如冰
455,赫连,如娆
456,乐正,如音
457,子车,一曲
458,慕容,灵煌
459,司徒,宫苴
460,阳佟,涔雨
461,归海,莫茗
462,司空,凤凰
463,西门,清雅
464,左丘,颜演
465,伯赏,幻然
466,巫马,幻悲
467,尉迟,幻雪
468,东方,幻嫣
469,诸葛,葵阴
470,夏侯,灭绝
471,欧阳,夜阑
472,皇甫,藏今
473,上官,幻姬
474,司马,茹妖
475,鲜于,香魔
476,长孙,魂幽
477,太叔,藏花
478,钟离,妖妖
479,仲孙,一凤
480,祝,芸遥
481,庄,行云
482,佐,舞仙
483,熊,涟妖
484,独孤,虔纹
485,古,若魔
486,牧云,绾绾
487,仓央,艳血
488,卧龙,绝音
489,金,血茗
490,安阳,凤妖
491,虞丘,若血
492,湛卢,雪冥
493,轩丘,冰姬
494,容成,邪欢
495,万俟,黎云
496,黑齿,念瑶
497,贺兰,亦云
498,公输,思萱
499,拓拨,青旋
500,申屠,雅青
